id,accommodates,bathrooms,bedrooms,beds,price
7087327,4,1,1,2,160
975833,6,3,3,3,600
8249488,1,2,1,1,50
8409022,2,1,1,1,95
8411173,4,1,1,1,50
8634774,4,1,2,4,99
8498095,4,2,2,2,100
8513660,2,1,1,1,100
8298145,2,1.5,1,1,38
295345,2,,1,1,71
1745866,4,1.5,2,2,97
7678268,1,1,1,1,55
8457865,2,1,1,1,50
6757134,2,1,0,1,99
295346,2,,1,1,60
8479636,2,1,1,1,52
2310297,1,1,1,1,23
6556520,2,1,1,2,200
8519782,4,1,2,2,40
8606980,2,1,1,1,135
8485995,2,1,1,1,100
8607216,2,1,1,1,225
8568945,7,3,4,3,129
333613,1,1,1,1,149
1026034,4,1,1,2,150
2486785,4,1.5,1,1,175
1822257,3,1,2,2,239
5220279,4,1,1,2,65
3419118,2,1,1,1,71
805961,2,1,1,1,80
3362,4,2.5,1,3,250
93551,2,1,1,1,138
68962,2,1,1,1,94
3469191,5,2.5,2,2,283
6778286,3,1,1,3,127
495042,6,1,1,3,79
7220873,3,1,1,1,110
7524042,6,1,1,6,38
5990979,9,2.5,3,5,480
1086168,6,2,2,3,372
6688513,3,1,1,2,125
3890477,2,1,1,1,89
6262632,1,1,1,1,80
1519460,5,1,0,3,90
5173258,3,1,0,2,110
3985441,3,1,2,3,100
5089898,4,2,2,2,250
7150515,1,1,1,1,55
7132107,3,1,1,2,55
813573,2,1,1,1,400
8473096,1,1,1,1,35
2117627,4,2,2,2,160
7254795,4,2.5,2,2,130
8567059,1,1,1,1,50
5912004,2,1,1,1,150
2940776,2,1.5,1,1,40
8519673,2,1,1,1,45
8552222,2,2.5,1,1,55
4694155,2,1,1,1,200
4286181,2,1,1,1,65
2523708,4,1.5,1,1,94
861775,1,1,1,1,65
2517969,5,1.5,1,1,64
7368860,2,1,1,1,59
403647,1,,1,,125
1875603,3,1.5,1,1,74
6133697,3,1,1,1,69
8523150,1,1,1,1,49
8172001,2,1,1,1,60
7582828,2,1,1,1,69
5375538,4,1,1,2,157
6564932,3,1,1,1,128
3504621,2,1,1,1,135
2237591,2,1,1,1,90
4468217,2,1,1,1,102
8089814,3,1,1,1,99
5759630,2,1,1,1,195
321642,4,1,1,2,160
7219322,2,1,1,1,95
7973221,2,1,1,1,120
8191407,6,2,2,3,249
7860122,2,1,1,1,88
7973954,2,1,1,1,90
8503615,2,1,,1,150
8606829,2,1,1,1,125
374043,2,1,1,1,85
4251323,3,1,1,2,400
4430318,2,1,1,1,120
454026,10,2,4,4,215
6448095,2,0.5,1,1,90
4597473,2,1,1,1,50
5023531,5,1,1,2,100
7769625,4,2,2,2,65
7826994,2,1,1,1,55
792578,8,2.5,3,1,129
7384867,1,1,1,1,45
212586,5,2,2,2,299
786804,5,2,2,2,309
8595649,7,1,2,4,375
4729118,4,2,2,3,180
2790026,4,1,1,1,149
5844616,5,2,2,3,337
96259,4,2,2,2,299
23378,3,1,1,1,249
5405828,3,1.5,0,1,126
8167267,2,1,1,1,99
4808149,4,2,2,2,299
924888,2,1,1,1,199
4659838,3,1,1,3,89
8664363,2,1,0,1,165
786693,4,2,2,2,309
8133514,2,1,0,1,115
1304225,4,1,1,2,130
7637938,2,2,1,1,95
6744470,1,1,1,1,50
5869529,3,1,1,1,569
3672217,1,1,1,1,55
7596192,2,1.5,1,1,49
6900870,4,1,2,2,250
36943,2,,1,1,198
1839589,5,2,2,3,311
2115864,2,1,0,1,95
7825726,1,1,1,2,59
3172888,2,1,1,1,167
6106389,3,1,1,1,165
2477325,3,1.5,1,1,104
805490,2,,1,1,99
4811421,4,1,1,3,159
6430122,2,1,0,1,190
4044606,3,1,1,2,246
6376317,3,1,1,2,200
1584147,3,1,1,2,215
8514469,4,2,2,2,450
7572512,3,1,1,1,234
2477330,2,1.5,1,1,110
7916003,4,2,2,2,225
216398,3,1,1,1,249
7114075,2,1,1,1,109
7258774,4,2,2,2,250
3961511,4,1,1,1,135
5353107,3,2,1,2,87
536232,4,1,1,1,210
3477770,10,2,3,6,300
5411135,2,1,0,1,189
4772168,2,1,1,1,120
7474964,2,1,1,1,200
2707225,3,1,1,2,269
7630675,3,1,1,1,569
6288255,4,2,2,2,120
6812558,1,1,1,1,109
6626883,3,1,1,1,150
1562024,3,1,1,1,95
6370764,4,1,1,2,119
8390917,2,1,1,1,97
2339961,2,1,1,1,99
3593404,2,1,1,1,295
6542545,2,1,1,1,149
6911905,2,1,1,1,110
8460219,5,1,2,3,180
7870051,2,1,0,2,150
1498731,6,1,0,3,150
4629445,5,2.5,2,2,155
14570,3,1,1,2,85
1624943,2,1,1,1,130
3421927,3,1,1,1,120
6792155,2,1,1,1,90
2578477,2,1,1,2,149
6953508,3,1,1,1,569
5691723,4,1,1,1,180
6844024,1,1,1,1,55
3258728,4,1,1,1,229
8042913,2,1,1,1,75
6781783,3,1,1,1,569
1170249,2,1,1,1,105
1287319,2,1,1,1,259
7769970,2,1,1,1,120
5577993,3,1,1,2,119
8015877,2,1.5,1,1,139
6574122,1,1,1,1,90
4427874,1,1,1,1,109
2642542,4,1,1,2,150
1535272,5,1,0,3,295
176369,3,1,1,1,210
1529367,6,1.5,2,2,329
8081791,2,1,0,1,125
8532371,2,1,1,1,150
1173115,3,1,1,2,175
7582553,3,1,1,2,129
940952,2,1,1,1,239
801699,2,1,1,1,250
1391504,4,1,1,2,168
7804254,2,1,1,1,79
8534537,1,1,1,2,65
3635723,4,2,2,2,290
8408614,6,1,1,3,725
7067790,2,1,1,1,109
8304399,4,1,1,2,99
6846210,3,1,1,1,569
7132818,4,1,1,2,120
6370883,2,1,1,2,290
3380059,3,1,1,1,145
343200,4,1,1,1,210
4588047,1,1,1,1,90
8423417,2,1,1,1,99
2271727,4,1,1,1,399
18883,2,1,1,1,239
1403549,2,1,1,1,150
6870636,1,1,1,1,199
3710056,2,1,1,1,135
524237,4,1,1,1,295
7257104,5,2,2,3,429
892183,8,2.5,4,4,400
5862599,6,2,2,3,295
195344,4,1.5,1,2,179
20832,4,2,2,2,309
7109438,3,2,1,2,90
7053307,2,1,1,1,43
7790166,1,1,1,1,120
6790744,4,1,2,2,269
2346018,2,1,0,1,150
2563683,2,1,1,1,269
2309866,4,1,1,1,185
267813,2,1,1,1,120
8338737,8,2,2,3,220
4644205,3,1,1,2,99
8428938,2,1,1,1,99
2039329,4,1,1,2,250
4807923,2,1,1,1,249
2170732,3,1,1,2,259
4378992,5,2,2,2,300
34180,3,1,1,1,289
5946361,2,1,0,1,200
5792783,2,1,1,1,249
7616647,1,1,1,1,81
8410280,2,1,1,1,200
7502313,8,1,2,4,194
7039348,2,1,1,1,89
811040,2,1,1,1,159
8454224,2,1,0,1,85
1989187,4,1,1,1,100
8482899,2,1,1,1,189
6660622,3,2,1,1,150
7922208,5,1,2,3,175
8291377,2,1,1,1,120
7875951,3,1,1,1,155
6967482,5,2,2,2,629
2171039,5,2,2,3,311
8286241,3,1,1,1,571
762058,6,2,2,2,339
316796,4,1,1,2,210
786670,4,2,2,2,299
5423355,2,1,1,1,170
8509689,1,1,1,1,135
7848895,4,1,2,2,245
17377,3,1,1,1,249
8291438,2,1,1,1,99
8610929,4,1,0,1,149
4240916,1,1,1,1,99
5039240,6,2,2,2,295
6074361,6,2,2,2,400
7554288,1,1,1,1,65
475420,1,1,1,1,99
6881600,8,1,2,4,179
5020383,4,1,1,1,150
6676843,4,1,1,1,140
4832639,3,1,1,1,179
7807724,2,1,1,2,135
8405767,3,1,1,2,250
5260553,2,1.5,1,1,95
7990478,6,1,2,2,170
5952761,5,2,2,2,299
6404138,2,1,1,1,150
867430,4,1.5,1,1,250
5307479,2,1,0,1,105
7819662,3,1,1,1,120
8289426,3,1,1,1,399
7629993,5,2,2,2,629
6953706,3,1,1,1,569
3985853,2,1,1,1,70
4305324,2,1,0,1,110
1839373,3,1,1,2,259
5374980,2,1.5,1,1,99
5145487,8,1.5,3,3,289
4606872,4,1,1,2,124
54345,2,1,1,1,259
